Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,DayOfWeek,Week,Daily_Return,Cumulative_Return,Price_Change,Up_Down,SMA_20,SMA_50,EMA_20,BB_Mid,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Volume_MA
2025-07-04,3161.10009765625,3177.0,3134.10009765625,3162.5,968006,25.3,0.0,2025,July,Q3,Friday,27,0.425523073503542,113.1627429909486,1.39990234375,Up,3096.0465087890625,3043.8000537109374,3110.139167181678,3096.0465087890625,3243.2943872861415,2948.7986302919835,70.6880310363847,41.18693037903722,38.99861394605102,2.1883164329861984,2402183.15
2025-07-07,3162.5,3173.0,3152.10009765625,3160.199951171875,853459,0.0,0.0,2025,July,Q3,Monday,28,-0.07272881669960762,113.08044106702646,-2.300048828125,Down,3100.916845703125,3050.176611328125,3114.90686089503,3100.916845703125,3249.9662426914747,2951.8674487147755,73.2868319957131,40.15050520230943,39.2289921973027,0.9215130050067302,2376624.15
2025-07-08,3150.0,3168.0,3123.0,3157.89990234375,1513129,0.0,0.0,2025,July,Q3,Tuesday,28,-0.07278175000515752,112.99813914310432,7.89990234375,Up,3106.6592407226562,3055.18974609375,3119.001436271099,3106.6592407226562,3255.170384814869,2958.1480966304434,70.22661766724275,38.69745588152091,39.12268493414635,-0.42522905262543986,2362917.95
2025-07-09,3145.0,3189.0,3141.0,3176.300048828125,1245661,0.0,0.0,2025,July,Q3,Wednesday,28,0.5826703522400667,113.65654579847417,31.300048828125,Up,3112.6669067382813,3060.9875390625,3124.458446990816,3112.6669067382813,3262.2912763147615,2963.042537161801,66.91767642461265,38.58584823143383,39.01531759360385,-0.42946936217001763,2337711.65
2025-07-10,3172.10009765625,3192.60009765625,3137.60009765625,3162.39990234375,1701384,0.0,0.0,2025,July,Q3,Thursday,28,-0.4376206992630749,113.15916122799263,-9.7001953125,Down,3121.030065917969,3066.12638671875,3128.0719189291904,3121.030065917969,3261.406682652,2980.6534491839375,50.707721753497715,36.9498379799752,38.602221670878116,-1.6523836909029157,2308860.95
2025-07-11,3158.0,3162.39990234375,3062.39990234375,3073.199951171875,3041614,0.0,0.0,2025,July,Q3,Friday,28,-2.8206410930434855,109.96734742585255,-84.800048828125,Down,3125.5879638671877,3069.7113916015624,3122.8460172380173,3125.5879638671877,3252.208923768487,2998.9670039658886,43.40204182717804,28.131317171190403,36.508040770940575,-8.376723599750171,2360782.45
2025-07-14,3072.800048828125,3104.800048828125,3053.60009765625,3092.10009765625,2958843,0.0,0.0,2025,July,Q3,Monday,29,0.6149989191939209,110.64364542398776,19.300048828125,Up,3130.21787109375,3071.6050244140624,3119.917834420706,3130.21787109375,3243.495503781623,3016.940238405877,44.18637163864821,22.409338853417466,33.68830038743596,-11.278961534018492,2425038.3
2025-07-15,3086.10009765625,3148.300048828125,3082.89990234375,3128.60009765625,2826720,0.0,0.0,2025,July,Q3,Tuesday,29,1.1804275038724166,111.9497134458596,42.5,Up,3137.4862548828123,3073.298134765625,3120.744716633615,3137.4862548828123,3227.2725059352633,3047.7000038303613,37.963264049357285,20.582611238599384,31.067162557668645,-10.484551319069261,2493606.55
2025-07-16,3128.60009765625,3210.0,3082.39990234375,3196.5,2892812,0.0,0.0,2025,July,Q3,Wednesday,29,2.170296625465684,114.37935429899359,67.89990234375,Up,3146.4681396484375,3075.327451171875,3127.959505525652,3146.4681396484375,3219.897606476967,3073.038672819908,50.98255293992815,24.333371143430213,29.72040427482096,-5.387033131390748,2530195.0
2025-07-17,3186.300048828125,3238.0,3171.0,3195.0,3267180,0.0,0.0,2025,July,Q3,Thursday,29,-0.0469263256686947,114.32568027069749,8.699951171875,Up,3152.71142578125,3079.04892578125,3134.3443145232086,3152.71142578125,3219.77050710674,3085.65234445576,52.76818129045821,26.875039203985125,29.151331260653794,-2.2762920566686695,2569408.0
2025-07-18,3208.0,3252.0,3176.699951171875,3192.39990234375,2040381,0.0,0.0,2025,July,Q3,Friday,29,-0.08138020833333703,114.2326417939147,-15.60009765625,Down,3154.380419921875,3083.7302685546874,3139.873418125165,3154.380419921875,3223.7232567347323,3085.0375831090173,55.88158328688124,28.352691128377046,28.991603234198443,-0.6389121058213973,2255635.35
2025-07-21,3177.0,3253.60009765625,3152.800048828125,3246.699951171875,2436535,0.0,0.0,2025,July,Q3,Monday,30,1.7009162538897282,116.17564336543502,69.699951171875,Up,3161.2147216796875,3087.0651611328126,3150.0473736534227,3161.2147216796875,3238.6205468419325,3083.8088965174425,64.05777664544497,33.51891586308329,29.897065759975415,3.621850103107878,2290890.5
2025-07-22,3246.699951171875,3271.89990234375,3210.5,3257.199951171875,1854072,0.0,0.0,2025,July,Q3,Tuesday,30,0.323405308710778,116.55136156350774,10.5,Up,3167.8250366210937,3091.6199365234374,3160.2523810361326,3167.8250366210937,3254.2604905400244,3081.389582702163,67.19738630071438,38.022152725168326,31.522083153013998,6.500069572154327,2241849.75
2025-07-23,3260.0,3303.0,3248.0,3268.800048828125,2159800,0.0,0.0,2025,July,Q3,Wednesday,30,0.3561371064148666,116.96644421006714,8.800048828125,Up,3171.7714233398438,3095.454365234375,3170.5902541591795,3171.7714233398438,3268.980972161523,3074.5618745181646,67.43372020253742,42.04239278370915,33.626145079153034,8.416247704556113,2245901.2
